门,纲,目,科,属,种,缩写,序列号
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC7002,SynspP7,CP000951.1
Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,Chrysosporum,Chrysosporum ovalisporum,Chrov,GCA_001458455.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix sp.P13C2,LimspP,GCA_001698445.1
Cyanobacteria,OscillFtoriophycideFe,Oscillatoriales,Coleofasciculaceae,Roseofilum,Roseofilum reptotFenium,Rosre,GCA_001890975.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Limnothrix,Limnothrix sp.CACIAM69d,LimspC,GCA_001913845.2
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,Alkalinema,Alkalinema sp.CACIAM70d,AlkspCA,GCA_002148405.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Coleofasciculaceae,Geitlerinema,Geitlerinema sp.FCII,GeispF,GCA_002286845.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium sp.HL-69,CyaspHL,GCA_002813895.1
Cyanobacteria,Cyanophyceae,Synechococcales,Oculatellaceae,Shackletoniella,Shackletoniella antarctica,Shaan,GCA_003241845.1
Cyanobacteria,CyFnophyceFe,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya foveolarum,Lepfo,GCA_003242035.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena frigida,Psefo,GCA_003242085.1
Cyanobacteria,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,Cyanobium sp.,Cyasp,GCA_003248995.1
Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp.,Psesp,GCA_003249015.1
Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp.,Lepsp,GCA_003249025.1
Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Snowella,Snowella sp.,Snosp,GCA_003249095.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis flos-aquae,Micfl,GCA_003389435.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp.UBA12306,CyaspUB,GCA_003448685.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Microcoleaceae,Microcoleaceae bacterium?UBA10368,Micba,GCA_003506815.1
Cyanobacteria,Deltaproteobacteria,Desulauromonadales,Geobacteraceae,,Geobacteraceae  bacterium,Geoba,GCA_003820085.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa feldmannii,Aphfe,GCA_004768385.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis,Microcystis novacekii,Micno,GCA_007096045.1
Cyanobacteria,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina?sp.DLM2.Bin59,SpispD,GCA_007693875.1
Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp.DLM2.Bin57,GlospD,GCA_007693955.1
Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp.,Synsp,GCA_009919765.1
Cyanobacteria,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina?sp.SIO3F2,SpispS,GCA_010672165.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp.SIO2G6,Cyasp2,GCA_010672345.1
Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia?sp.SIO2A8,Mersp,GCA_010672605.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Moorena,Moorena?sp.SIO1F2,Moosp,GCA_010672755.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp.SIO1E1,Cyasp1,GCA_010672835.1
Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Symploca,Symploca sp.SIO1A3,Symsp,GCA_010672995.1
Cyanobacteria,Cyanophyceae,Synechococcales,Acaryochloridaceae,Acaryochloridaceae,Acaryochloridaceae cyanobacterium?SU_2_1,AcacySU,GCA_012030735.1
